Cell_Type,Receptor_1,Receptor_2,Selectivity,Kx_star,Affinity_Receptor_0,Affinity_Receptor_1,Affinity_Receptor_2
Treg,Prototype_Signal_Receptor,Prototype_Signal_Receptor,0.5009354764999885,-6.652547417528281,6.0,6.0,7.0
Treg,CCR10,Prototype_Signal_Receptor,0.5224631632114067,-7.138797079989973,6.0,9.675710576826058,6.0
Treg,CCR10,CCR10,0.524010101303406,-6.341004053266915,6.0,8.983892223101785,7.0
Treg,CD102,Prototype_Signal_Receptor,0.5003434773535527,-13.477850695546769,6.196705900190927,6.0,7.164473711581917
Treg,CD102,CCR10,0.5006811930531837,-12.19146857179076,6.0,6.0,10.489579720892758
Treg,CD102,CD102,0.5003423811574779,-12.801912900701724,6.485693349993686,6.0,7.0
Treg,CD103,Prototype_Signal_Receptor,0.5006742993242259,-9.923878203602898,6.0,6.0,12.0
Treg,CD103,CCR10,0.5006840045984474,-11.514054121770162,6.000309916026487,6.0,9.287168866530248
Treg,CD103,CD102,0.5003425812931559,-12.987398107693808,6.453388949988637,6.6340395054200165,6.0
Treg,CD103,CD103,0.5003425123680306,-11.492895966922271,6.131009562580831,6.0,7.0
Treg,CD106,Prototype_Signal_Receptor,0.5311941993861913,-8.025180237242772,6.0,12.0,6.0
Treg,CD106,CCR10,0.5312043130547979,-7.761650260136238,6.0,8.484011818731164,7.662972826403681
Treg,CD106,CD102,0.5310941819625593,-8.017472838968956,6.0,12.0,6.0
Treg,CD106,CD103,0.5334806025700825,-7.756834461156348,6.0,12.0,6.0
Treg,CD106,CD106,0.5337649181026196,-7.711071674749656,6.0,12.0,7.0
Treg,CD107a,Prototype_Signal_Receptor,0.5006704490866802,-9.965099632596676,6.0,6.0,12.0
Treg,CD107a,CCR10,0.5006838300872812,-12.171382058423104,6.0,6.0,10.454709583529876
Treg,CD107a,CD102,0.5003426314800001,-13.213783173942508,6.547118178441518,6.387283729771906,6.0
Treg,CD107a,CD103,0.5003426838167331,-12.582115753121354,6.183869238722303,6.0,6.5234519348611535
Treg,CD107a,CD106,0.5328551862500935,-7.839782064318207,6.0,6.0,12.0
