surface_marker,cell_type_1,cell_type_2,cell_type_3,cell_type_main_1,cell_type_main_2
Integrin-7,cDC2_1,,,cDC,
CD1c,cDC2_1,,,cDC,
CD64,cDC2_1,,,cDC,
Folate,cDC2_1,,,cDC,
CD163,cDC2_1,,,cDC,
CD271,ASDC_mDC,ASDC_pDC,pDC,ASDC,pDC
CD195,ASDC_mDC,ASDC_pDC,pDC,ASDC,pDC
CD16,CD16 Mono,,,CD16 Mono,
CD35,CD14 Mono,,,CD14 Mono,
CD11b-2,CD14 Mono,,,CD14 Mono,
CD11b-1,CD14 Mono,,,CD14 Mono,
IgD,B naive,,,B naive,
CD72,B naive,,,B naive,
CD305,B naive,,,B naive,
CD226,B naive,,,B naive,
CD275-2,B naive,,,B naive,
IgM,B intermediate,,,B intermediate,
CD1c,B intermediate,,,B intermediate,
CD25,B intermediate,,,B intermediate,
CD45RB,B intermediate,,,B intermediate,
CD24,B intermediate,,,B intermediate,
CD73,B memory,,,B memory,
CD35,B memory,,,B memory,
CD38-1,Plasma,Plasmablast,,Plasma,Plasmablast
CD38-2,Plasma,Plasmablast,,Plasma,Plasmablast
CD27,Plasma,Plasmablast,,Plasma,Plasmablast
CD71,Plasma,Plasmablast,,Plasma,Plasmablast
CD25,ILC,,,ILC,
CD45RB,ILC,,,ILC,
CLEC2,Platelet,,,Platelet,
CD41,Platelet,,,Platelet,
CD42b,Platelet,,,Platelet,
CD9,Platelet,,,Platelet,
CD49b,Platelet,,,Platelet,
CD226,Platelet,,,Platelet,
CD62P,Platelet,,,Platelet,
GP130,Platelet,,,Platelet,
CD61,Platelet,,,Platelet,
CD110,Platelet,,,Platelet,
CD29,Platelet,,,Platelet,
CD69,Platelet,,,Platelet,
CD102,Platelet,,,Platelet,
CD31,Platelet,,,Platelet,
CD57,NK,,,NK,
CD16,NK,,,NK,
CD38-1,NK,,,NK,
CD38-2,NK,,,NK,
CD44-1,NK_CD56bright,,,NK_CD56bright,
CD44-2,NK_CD56bright,,,NK_CD56bright,
CD335,NK_CD56bright,,,NK_CD56bright,
CD122,NK_CD56bright,,,NK_CD56bright,
CD337,NK_CD56bright,,,NK_CD56bright,
CD117,NK_CD56bright,,,NK_CD56bright,
CD56-2,NK_CD56bright,,,NK_CD56bright,
CD56-1,NK_CD56bright,,,NK_CD56bright,
