,tissue,cell_type,mass,groups,for_final_table,extrapolate,density,err,mean_volume_fl,mean_volume_err,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man,mass_err
419,Urinary bladder,Macrophages,0.6,internal epithelial,Others,mouse,4.4E+06,2.0,2608,1.5,25,1.1E+08,0.3,40,1.8E+08,0.5,50,2.2E+08,0.6,2.2
420,Uterus,Macrophages,0.0,internal epithelial,Others,extrapolation,7.3E+06,2.1,2608,1.5,0,0.0E+00,0.0,80,5.9E+08,1.6,0,0.0E+00,0.0,2.4
421,Yellow marrow,Macrophages,1.7,adipose tissue,Others,extrapolation,2.5E+05,2.0,2608,1.5,630,1.6E+08,0.4,1800,4.4E+08,1.2,2480,6.1E+08,1.7,2.2
422,Blood,Dendritic cells,0.2,blood,Blood,human,1.8E+04,2.2,2087,1.5,2616,4.7E+07,0.1,4251,7.6E+07,0.2,5500,9.9E+07,0.2,2.5
423,Lymph nodes,Dendritic cells,33.2,lymphatic system,Lymph system,multiplex,6.6E+07,1.4,2087,1.5,99,6.5E+09,14.6,185,1.2E+10,27.3,225,1.5E+10,33.2,1.7
424,Skin,Dendritic cells,21.5,barrier epithelial,Skin,human,2.9E+06,1.9,2087,1.5,820,2.4E+09,5.3,2300,6.7E+09,15.0,3300,9.6E+09,21.5,2.1
425,Spleen,Dendritic cells,50.6,lymphatic system,Lymph system,multiplex,1.5E+08,1.3,2087,1.5,80,1.2E+10,27.0,130,2.0E+10,43.9,150,2.3E+10,50.6,1.6
426,Blood,Monocytes,1.2,blood,Blood,human,5.4E+05,1.2,373,1.1,2616,1.4E+09,0.6,4251,2.3E+09,0.9,5500,3.0E+09,1.2,1.2
427,Lymph nodes,Monocytes,0.3,lymphatic system,Lymph system,human,3.9E+06,1.3,373,1.1,99,3.8E+08,0.2,185,7.2E+08,0.3,225,8.7E+08,0.3,1.3
428,Red marrow,Monocytes,9.2,marrow,Bone Marrow,human,2.0E+07,1.2,373,1.1,630,1.2E+10,4.9,900,1.8E+10,7.1,1170,2.3E+10,9.2,1.3
429,Spleen,Monocytes,2.5,lymphatic system,Lymph system,human,4.1E+07,1.2,373,1.1,80,3.3E+09,1.3,130,5.4E+09,2.1,150,6.2E+09,2.5,1.3
430,Thymus,Dendritic cells,0.1,lymphatic system,Lymph system,multiplex,2.7E+06,1.8,2087,1.5,40,1.1E+08,0.2,25,6.7E+07,0.1,20,5.4E+07,0.1,2.0
431,Tonsils,Dendritic cells,0.5,lymphatic system,Lymph system,multiplex,7.4E+07,1.5,2087,1.5,3,2.2E+08,0.5,3,2.2E+08,0.5,3,2.2E+08,0.5,1.8
