Cell_Type,Receptor_1,Receptor_2,Selectivity,Kx_star,Affinity_Receptor_0,Affinity_Receptor_1,Affinity_Receptor_2
CD4 TEM,Prototype_Signal_Receptor,Prototype_Signal_Receptor,0.5136496417532714,-7.060209581956401,6.0,6.0,7.0
CD4 TEM,CCR10,Prototype_Signal_Receptor,0.5097115537769927,-8.319052675361203,6.9721627841123865,6.0,7.478503632348773
CD4 TEM,CCR10,CCR10,0.5069930932818818,-8.838448139469872,7.811356717705344,6.0,7.0
CD4 TEM,CD102,Prototype_Signal_Receptor,0.538969630268605,-7.60741178437392,6.0,7.530678970754685,6.0
CD4 TEM,CD102,CCR10,0.5367628764345806,-8.823457863460822,6.0,9.30561753042151,6.0
CD4 TEM,CD102,CD102,0.557691874848926,-7.733225553251418,6.0,7.106586515418809,7.0
CD4 TEM,CD103,Prototype_Signal_Receptor,0.5315232261824218,-7.4659403886478515,6.0,7.122827977749869,6.0
CD4 TEM,CD103,CCR10,0.5283561064344551,-8.308855369370798,6.175462011356526,8.107464622834085,6.0
CD4 TEM,CD103,CD102,0.553725281758881,-7.690585158968324,6.0,7.036448805018085,7.239494278875823
CD4 TEM,CD103,CD103,0.5428523199801817,-7.769792786114606,6.0,7.0758527696506714,7.0
CD4 TEM,CD106,Prototype_Signal_Receptor,0.5377633357965842,-7.602982297184506,6.0,8.029458155800395,6.0
CD4 TEM,CD106,CCR10,0.5355098167115044,-9.177043284741838,6.0,11.588090034559952,6.0
CD4 TEM,CD106,CD102,0.556234802747991,-7.717870363297988,6.0,7.590829416155228,7.068806412868666
CD4 TEM,CD106,CD103,0.5519403736468385,-7.570118511068904,6.0,7.557694571402645,6.9079625168364975
CD4 TEM,CD106,CD106,0.5518410201807263,-7.653389507675091,6.0,7.442887689325213,7.0
CD4 TEM,CD107a,Prototype_Signal_Receptor,0.5095916202618936,-8.403632282859277,7.027532993341679,6.0,7.54626510445259
CD4 TEM,CD107a,CCR10,0.5069511097792045,-8.884815678467712,7.841531607131114,6.0,6.0
CD4 TEM,CD107a,CD102,0.5367546365670017,-9.564706553949765,6.0,6.0,11.934273899896612
CD4 TEM,CD107a,CD103,0.5282629458580553,-9.121316248068089,6.0,6.0,9.000694564399726
CD4 TEM,CD107a,CD106,0.5355112859970821,-9.17767088241889,6.0,6.0,11.681225952184748
CD4 TEM,CD107a,CD107a,0.5069143430318167,-8.922384923460445,7.866306686140637,6.0,7.0
CD4 TEM,CD109,Prototype_Signal_Receptor,0.5212759513489709,-7.224957794806457,6.0,6.187078772580857,6.0
CD4 TEM,CD109,CCR10,0.517399882865066,-8.255439430631727,6.641605819727517,7.4020407832455986,6.0
CD4 TEM,CD109,CD102,0.5453121619163254,-7.715363859130761,6.0,6.304462246697227,7.449562946679728
CD4 TEM,CD109,CD103,0.5386995727804644,-7.570127390402771,6.0,6.277339805527991,7.142652485827375
CD4 TEM,CD109,CD106,0.5432850358815293,-7.648984532870225,6.0,6.155197753266191,7.858143768043459
