Cell_Type,Receptor_1,Receptor_2,Selectivity,Kx_star,Affinity_Receptor_0,Affinity_Receptor_1,Affinity_Receptor_2
Treg,Prototype_Signal_Receptor,Prototype_Signal_Receptor,0.5088952428595225,-6.714924803832008,6.0,6.0,7.0
Treg,CCR10,Prototype_Signal_Receptor,0.5280269356086412,-10.221218495229788,6.0,12.0,6.0
Treg,CCR10,CCR10,0.5280363090562512,-10.221128006898883,6.0,12.0,7.0
Treg,CD102,Prototype_Signal_Receptor,0.5064525003645023,-9.961059564253171,6.0,6.0,12.0
Treg,CD102,CCR10,0.5279727568611463,-10.22218375985122,6.0,6.0,12.0
Treg,CD102,CD102,0.5033066090382701,-12.727398724889833,6.073647834205856,6.0,7.0
Treg,CD103,Prototype_Signal_Receptor,0.5070193208478441,-8.817815789014576,7.282311844830443,6.0,7.876238442173785
Treg,CD103,CCR10,0.5589579283393887,-8.162493684145575,6.0,7.115933755540095,7.294784094102159
Treg,CD103,CD102,0.5033071697387468,-12.866462617481481,6.212759290581655,6.5398173852683925,6.0
Treg,CD103,CD103,0.5053009747182822,-9.033399217890299,7.924893555412924,6.0,7.0
Treg,CD106,Prototype_Signal_Receptor,0.5096743589973038,-7.214201917283985,6.0,7.1279131289605795,6.0
Treg,CD106,CCR10,0.5715928909001254,-8.110454795073219,6.0,7.283389518253457,7.155168869119276
Treg,CD106,CD102,0.5089951745992526,-9.346520557674065,6.0,12.0,6.0
Treg,CD106,CD103,0.5091194288022411,-9.306484326257427,6.0,12.0,6.0
Treg,CD106,CD106,0.5093335953894235,-7.412233088883497,6.0,7.783677163732618,7.0
Treg,CD107a,Prototype_Signal_Receptor,0.5064651675884579,-9.9403494876076,6.0,6.0,12.0
Treg,CD107a,CCR10,0.6042715075378445,-8.480089558265437,6.0,6.899728573896317,7.496866923887384
Treg,CD107a,CD102,0.5033071157905573,-12.806543422179484,6.46357753921016,6.0,6.0
Treg,CD107a,CD103,0.5047845442575662,-9.675414796818886,8.354091441222192,6.0,6.0
Treg,CD107a,CD106,0.509096146891956,-9.315336917448153,6.0,6.0,12.0
Treg,CD107a,CD107a,0.5048452928015924,-9.606421308336458,8.307012123573752,6.0,7.0
Treg,CD109,Prototype_Signal_Receptor,0.6127708432704452,-8.005302311986371,6.0,8.259831963161723,6.0
Treg,CD109,CCR10,0.6199514017390477,-8.22933988610056,6.0,7.4990968410012435,6.9574994320763395
Treg,CD109,CD102,0.6121168989264489,-9.448960048946809,6.0,12.0,6.0
Treg,CD109,CD103,0.6121581080119093,-9.442954229264304,6.0,12.0,6.0
Treg,CD109,CD106,0.6121584360051033,-9.443413318484017,6.0,12.0,6.0
Treg,CD109,CD107a,0.6121475928723799,-9.444883131349114,6.0,12.0,6.0
Treg,CD109,CD109,0.6125212984460122,-7.839714759243288,6.0,8.172619138688399,7.0
Treg,CD110,Prototype_Signal_Receptor,0.506466108210365,-9.936333193020994,6.0,6.0,12.0
Treg,CD110,CCR10,0.5280239550969252,-10.221188638467451,6.0,6.0,11.996809129459171
Treg,CD110,CD102,0.5033076493178087,-12.819732542399308,6.543578617465227,6.0,6.0
Treg,CD110,CD103,0.504836981751676,-9.615524790177862,8.314401512331958,6.0,6.0
