Cell_Type,Receptor_1,Receptor_2,Selectivity,Kx_star,Affinity_Receptor_0,Affinity_Receptor_1,Affinity_Receptor_2
Treg,Prototype_Signal_Receptor,Prototype_Signal_Receptor,0.4986559619239713,-11.370833114884872,6.0,6.0,6.0
Treg,CCR10,Prototype_Signal_Receptor,0.4989975520536248,-11.218881176471703,6.0,8.952670933794657,6.0
Treg,CCR10,CCR10,0.4993166080019574,-9.838051735880557,6.0,7.493038992659305,7.493038992659256
Treg,CD102,Prototype_Signal_Receptor,0.49865602737639914,-12.853777217356123,6.542171729544361,6.0,6.804084234441056
Treg,CD102,CCR10,0.4989946448719865,-12.222835017606677,6.0,6.0,10.63537973901929
Treg,CD102,CD102,0.4986556914040424,-13.075932702344085,6.568022057633246,6.0,6.0
Treg,CD103,Prototype_Signal_Receptor,0.4986562444652245,-11.73046931188694,6.0,6.0,6.097075321856107
Treg,CD103,CCR10,0.4989974958222859,-11.659790542509121,6.0,6.0,9.46542192451651
Treg,CD103,CD102,0.4986560338818811,-12.999199169409906,6.463813668254521,6.645911774874222,6.0
Treg,CD103,CD103,0.49865579352894,-11.86775431614,6.130588426106935,6.0,6.0
Treg,CD106,Prototype_Signal_Receptor,0.5300370617049783,-7.989467161354804,6.0,12.0,6.0
Treg,CD106,CCR10,0.5300729000468068,-7.7211496007426055,6.0,8.440940302557747,7.6533168155856615
Treg,CD106,CD102,0.5298704691911723,-7.988130308340164,6.0,12.0,6.0
Treg,CD106,CD103,0.5323834145512887,-7.719196957393654,6.0,12.0,6.0
Treg,CD106,CD106,0.5327032206156408,-7.674869871620254,6.0,10.5617223898719,10.571510838649624
Treg,CD107a,Prototype_Signal_Receptor,0.4986562929764244,-12.514230801600712,6.322036784042836,6.0,6.688887294027175
Treg,CD107a,CCR10,0.4989972222183679,-12.1246972689514,6.0,6.0,10.286976879024468
Treg,CD107a,CD102,0.4986559313352583,-13.02193318361535,6.577616958094628,6.45866456026028,6.0
Treg,CD107a,CD103,0.49865611566984125,-12.627796572569276,6.146701706780241,6.0,6.470657350024129
Treg,CD107a,CD106,0.5317176528427905,-7.806610057476734,6.0,6.0,12.0
Treg,CD107a,CD107a,0.4986565985407958,-13.212066157821308,6.499539340312084,6.0,6.0
Treg,CD109,Prototype_Signal_Receptor,0.6649167044002109,-9.506984493178237,6.0,12.0,6.0
Treg,CD109,CCR10,0.6649520826232967,-9.50643374468825,6.0,12.0,6.0
Treg,CD109,CD102,0.6649013245948678,-9.507931697681784,6.0,12.0,6.0
Treg,CD109,CD103,0.6649520458543248,-9.506573379570675,6.0,12.0,6.0
Treg,CD109,CD106,0.6649543583539191,-9.506519723366068,6.0,12.0,6.0
Treg,CD109,CD107a,0.6649395430065227,-9.506864471900423,6.0,12.0,6.0
Treg,CD109,CD109,0.7544942795379888,-8.011743564604105,6.0,7.483916045337308,7.48391604533731
Treg,CD110,Prototype_Signal_Receptor,0.49865621076167604,-12.39985713323729,6.0,6.0,6.398274522516575
Treg,CD110,CCR10,0.49899734651585087,-12.05047875703634,6.0,6.0,10.098165085236396
Treg,CD110,CD102,0.49865557984536224,-12.928964251781116,6.287924215924542,6.239563404591645,6.0
Treg,CD110,CD103,0.4986560636674988,-12.504951236001943,6.246310919089144,6.0,6.551742886808724
Treg,CD110,CD106,0.5320390240487193,-7.756141520256041,6.0,6.0,12.0
Treg,CD110,CD107a,0.4986555458040727,-12.505392786690422,6.155629877444808,6.0,6.0
Treg,CD110,CD109,0.6649477235366439,-9.506717151706402,6.0,6.0,12.0
Treg,CD110,CD110,0.4986558721185566,-12.55864169208361,6.214208312650865,6.0,6.0
Treg,CD112,Prototype_Signal_Receptor,0.4986558845715072,-11.705076274215221,6.0,6.0,6.117675961035544
Treg,CD112,CCR10,0.49899786459906503,-11.88000612621063,6.0,6.0,9.783294730776824
Treg,CD112,CD102,0.4986558622084592,-13.023540176350707,6.575294622450225,6.702136690597254,6.0
Treg,CD112,CD103,0.49865587778890874,-11.915236163465812,6.154186026167827,6.0,6.0
Treg,CD112,CD106,0.5322626451809565,-7.736216275396424,6.0,6.0,12.0
Treg,CD112,CD107a,0.498655892098648,-12.588068105860073,6.311253857203732,6.356362654393235,6.0
Treg,CD112,CD109,0.664952480783385,-9.50650934896602,6.0,6.0,12.0
Treg,CD112,CD110,0.49865614633214306,-12.529092928872045,6.4904549795129025,6.473017899772754,6.0
Treg,CD112,CD112,0.49865555679566725,-11.919470141189116,6.1294149997751255,6.0,6.0
Treg,CD119,Prototype_Signal_Receptor,0.49865619579882947,-12.387746824639352,6.0,6.0,6.50773516412259
Treg,CD119,CCR10,0.4989974337758212,-12.097115268667977,6.0,6.0,10.205434804171787
Treg,CD119,CD102,0.49865591793455544,-13.154518576332492,6.690092997409555,6.5361181651259015,6.0
Treg,CD119,CD103,0.49865589159775003,-12.495543966966697,6.1188214098085725,6.0,6.638163028266062
Treg,CD119,CD106,0.5323084807860209,-7.723614198091221,6.0,6.0,12.0
Treg,CD119,CD107a,0.49865603345531495,-12.625976301461458,6.42894850405135,6.0,6.0
Treg,CD119,CD109,0.6649467746784419,-9.506744243088097,6.0,6.0,12.0
Treg,CD119,CD110,0.4986554631530475,-12.448856074537176,6.207109933229136,6.0,6.0
Treg,CD119,CD112,0.49865603241127515,-12.518558481677257,6.171539757499423,6.0,6.516275527495717
Treg,CD119,CD119,0.4986555912461131,-12.444831009084895,6.372349218609725,6.0,6.0
Treg,CD11b-1,Prototype_Signal_Receptor,0.4986564442964982,-13.34661493631581,6.066612671558475,6.0,6.864035065634137
Treg,CD11b-1,CCR10,0.520377055412718,-7.43638270085133,6.0,6.0,12.0
Treg,CD11b-1,CD102,0.4986557210845063,-13.363559061255586,6.701355071109891,6.0,6.0
Treg,CD11b-1,CD103,0.49865600306090774,-13.319033566516634,6.739833775680612,6.0,6.788437531633046
Treg,CD11b-1,CD106,0.4986557040608787,-13.371669605689393,6.103669407972908,6.0,7.184773529776788
Treg,CD11b-1,CD107a,0.49865596910523585,-13.427786514984058,6.73640944626381,6.0,6.562137167994157
Treg,CD11b-1,CD109,0.6648417072275637,-9.509758832053233,6.0,6.0,12.0
Treg,CD11b-1,CD110,0.4986555334302222,-13.359226772335743,6.525725258530706,6.0,6.548540026530623
Treg,CD11b-1,CD112,0.4986559879914262,-13.321005095534696,6.778708270436776,6.0,6.760214747533945
Treg,CD11b-1,CD119,0.498655846527807,-13.334847750526189,6.73747132267261,6.0,6.542662250835655
Treg,CD11b-1,CD11b-1,0.4986555926473483,-13.520626582241434,6.693449502008923,6.0,6.0
Treg,CD11b-2,Prototype_Signal_Receptor,0.49865593535174474,-13.014858484916743,6.777704791122756,6.0,6.885170687099352
Treg,CD11b-2,CCR10,0.4989939262997681,-12.312717340598509,6.0,6.0,12.0
