Classifier,Epitope,Selectivity
CITE_SVM,CD127,0.02268010442034353
CITE_SVM,CD4-2,0.026525951676262358
CITE_SVM,CD109,0.025091212934104507
CITE_SVM,CD27,0.02619674670311903
CITE_SVM,CD44-2,0.022666644750691127
CITE_SVM,CD49d,0.02253543639854406
CITE_SVM,CD55,0.022607770891505452
CITE_SVM,CD44-1,0.02266610549965737
CITE_SVM,CD2,0.022757867594433195
CITE_SVM,CD4-1,0.026323112877352717
CITE_RIDGE,GP130,0.022821198813575215
CITE_RIDGE,CD122,0.022798479228693543
CITE_RIDGE,CD8,0.022617452822865397
CITE_RIDGE,TIGIT,0.023288363595070773
CITE_RIDGE,IgD,0.02276941712530144
CITE_RIDGE,CD29,0.02270452253634198
CITE_RIDGE,CD72,0.02265842312564263
CITE_RIDGE,CD4-1,0.026323112877352717
CITE_RIDGE,CD27,0.02619674670311903
CITE_RIDGE,CD25,0.026683806018643896
distMetricF,TIGIT,0.023288363595070773
distMetricF,CD28,0.024219292604808533
distMetricF,CD3-1,0.02514670954432551
distMetricF,CD146,0.023819720911856454
distMetricF,CD3-2,0.02540884496901369
distMetricF,CD278,0.023229332981432236
distMetricF,CD4-2,0.026525951676262358
distMetricF,CD27,0.02619674670311903
distMetricF,CD4-1,0.026323112877352717
distMetricF,CD25,0.026683806018643896
distMetricT,TIGIT,0.023288363595070773
distMetricT,CD146,0.023819720911856454
distMetricT,TCR-2,0.024187940429597692
distMetricT,CD109,0.025091212934104507
distMetricT,CD3-1,0.02514670954432551
distMetricT,CD3-2,0.02540884496901369
distMetricT,CD27,0.02619674670311903
distMetricT,CD4-2,0.026525951676262358
distMetricT,CD4-1,0.026323112877352717
distMetricT,CD25,0.026683806018643896
